year,city,country,avg_temp
1820,San Antonio,United States,18.83
1821,San Antonio,United States,20.75
1822,San Antonio,United States,25.48
1823,San Antonio,United States,19.34
1824,San Antonio,United States,19.9
1825,San Antonio,United States,20.15
1826,San Antonio,United States,19.87
1827,San Antonio,United States,20.52
1828,San Antonio,United States,20.02
1829,San Antonio,United States,19.71
1830,San Antonio,United States,20.39
1831,San Antonio,United States,18.96
1832,San Antonio,United States,19.55
1833,San Antonio,United States,20.03
1834,San Antonio,United States,20.22
1835,San Antonio,United States,18.35
1836,San Antonio,United States,18.75
1837,San Antonio,United States,19.34
1838,San Antonio,United States,18.52
1839,San Antonio,United States,19.38
1840,San Antonio,United States,19.5
1841,San Antonio,United States,19.54
1842,San Antonio,United States,19.81
1843,San Antonio,United States,19.56
1844,San Antonio,United States,19.69
1845,San Antonio,United States,19.43
1846,San Antonio,United States,20
1847,San Antonio,United States,19.15
1848,San Antonio,United States,19.38
1849,San Antonio,United States,19.96
1850,San Antonio,United States,19.77
1851,San Antonio,United States,19.86
1852,San Antonio,United States,19.6
1853,San Antonio,United States,18.96
1854,San Antonio,United States,19.53
1855,San Antonio,United States,19.23
1856,San Antonio,United States,19.03
1857,San Antonio,United States,19.47
1858,San Antonio,United States,19.68
1859,San Antonio,United States,20.01
1860,San Antonio,United States,19.99
1861,San Antonio,United States,20.3
1862,San Antonio,United States,20.26
1863,San Antonio,United States,19.83
1864,San Antonio,United States,19.4
1865,San Antonio,United States,19.87
1866,San Antonio,United States,19.82
1867,San Antonio,United States,20.62
1868,San Antonio,United States,19.67
1869,San Antonio,United States,19.24
1870,San Antonio,United States,19.91
1871,San Antonio,United States,20.24
1872,San Antonio,United States,19.52
1873,San Antonio,United States,19.44
1874,San Antonio,United States,20.15
1875,San Antonio,United States,19.59
1876,San Antonio,United States,19.63
1877,San Antonio,United States,19.38
1878,San Antonio,United States,19.72
1879,San Antonio,United States,20.35
1880,San Antonio,United States,19.41
1881,San Antonio,United States,19.81
1882,San Antonio,United States,19.9
1883,San Antonio,United States,19.85
1884,San Antonio,United States,19.64
1885,San Antonio,United States,19.26
1886,San Antonio,United States,19.25
1887,San Antonio,United States,19.74
1888,San Antonio,United States,19.14
1889,San Antonio,United States,19.29
1890,San Antonio,United States,20.17
1891,San Antonio,United States,19.36
1892,San Antonio,United States,19.65
1893,San Antonio,United States,19.94
1894,San Antonio,United States,20.02
1895,San Antonio,United States,19.02
1896,San Antonio,United States,20.23
1897,San Antonio,United States,20.02
1898,San Antonio,United States,19.51
1899,San Antonio,United States,19.5
1900,San Antonio,United States,19.64
1901,San Antonio,United States,19.73
1902,San Antonio,United States,20.38
1903,San Antonio,United States,18.58
1904,San Antonio,United States,19.85
1905,San Antonio,United States,19.28
1906,San Antonio,United States,19.6
1907,San Antonio,United States,20.63
1908,San Antonio,United States,20.33
1909,San Antonio,United States,20.54
1910,San Antonio,United States,20.23
1911,San Antonio,United States,20.57
1912,San Antonio,United States,19.2
1913,San Antonio,United States,19.12
1914,San Antonio,United States,19.19
1915,San Antonio,United States,19.85
1916,San Antonio,United States,20.5
1917,San Antonio,United States,19.88
1918,San Antonio,United States,19.92
1919,San Antonio,United States,19.08
1920,San Antonio,United States,19.56
1921,San Antonio,United States,20.91
1922,San Antonio,United States,20.37
1923,San Antonio,United States,20.1
1924,San Antonio,United States,19.37
1925,San Antonio,United States,20.51
1926,San Antonio,United States,19.65
1927,San Antonio,United States,21.23
1928,San Antonio,United States,19.98
1929,San Antonio,United States,19.69
1930,San Antonio,United States,19.53
1931,San Antonio,United States,20.17
1932,San Antonio,United States,19.78
1933,San Antonio,United States,21.39
1934,San Antonio,United States,20.91
1935,San Antonio,United States,20.35
1936,San Antonio,United States,19.35
1937,San Antonio,United States,19.96
1938,San Antonio,United States,20.65
1939,San Antonio,United States,20.67
1940,San Antonio,United States,19.31
1941,San Antonio,United States,19.94
1942,San Antonio,United States,19.81
1943,San Antonio,United States,20.03
1944,San Antonio,United States,19.86
1945,San Antonio,United States,20.47
1946,San Antonio,United States,20.37
1947,San Antonio,United States,19.82
1948,San Antonio,United States,20.32
1949,San Antonio,United States,20.23
1950,San Antonio,United States,20.74
1951,San Antonio,United States,20.76
1952,San Antonio,United States,20.06
1953,San Antonio,United States,20.61
1954,San Antonio,United States,21.37
1955,San Antonio,United States,20.72
1956,San Antonio,United States,20.93
1957,San Antonio,United States,20.18
1958,San Antonio,United States,19.39
1959,San Antonio,United States,19.52
1960,San Antonio,United States,19.47
1961,San Antonio,United States,19.66
1962,San Antonio,United States,20.55
1963,San Antonio,United States,20.47
1964,San Antonio,United States,20.2
1965,San Antonio,United States,20.23
1966,San Antonio,United States,19.58
1967,San Antonio,United States,20.34
1968,San Antonio,United States,19.15
1969,San Antonio,United States,19.95
1970,San Antonio,United States,19.55
1971,San Antonio,United States,20.82
1972,San Antonio,United States,20.1
1973,San Antonio,United States,19.66
1974,San Antonio,United States,19.93
1975,San Antonio,United States,19.93
1976,San Antonio,United States,19.04
1977,San Antonio,United States,20.3
1978,San Antonio,United States,19.55
1979,San Antonio,United States,19.14
1980,San Antonio,United States,20.3
1981,San Antonio,United States,20.32
1982,San Antonio,United States,20.39
1983,San Antonio,United States,19.2
1984,San Antonio,United States,20.62
1985,San Antonio,United States,20.07
1986,San Antonio,United States,20.56
1987,San Antonio,United States,19.73
1988,San Antonio,United States,20.28
1989,San Antonio,United States,19.99
1990,San Antonio,United States,20.93
1991,San Antonio,United States,20.22
1992,San Antonio,United States,20.07
1993,San Antonio,United States,19.72
1994,San Antonio,United States,20.5
1995,San Antonio,United States,20.35
1996,San Antonio,United States,20.78
1997,San Antonio,United States,19.73
1998,San Antonio,United States,21.35
1999,San Antonio,United States,21.35
2000,San Antonio,United States,21.12
2001,San Antonio,United States,20.35
2002,San Antonio,United States,20.3
2003,San Antonio,United States,20.37
2004,San Antonio,United States,20.45
2005,San Antonio,United States,20.9
2006,San Antonio,United States,21.56
2007,San Antonio,United States,19.98
2008,San Antonio,United States,20.91
2009,San Antonio,United States,21.06
2010,San Antonio,United States,20.1
2011,San Antonio,United States,21.66
2012,San Antonio,United States,21.56
2013,San Antonio,United States,22.18
